time,location,activity,name,file_num
20:50 PM,Dining Room,Retrieving items from storage,Mrs. Peacock,15
21:00 PM,Study,Complaining about TSA going through their purse,Mrs. Peacock,15
21:10 PM,Study,Complaining about TSA going through their purse,Mrs. Peacock,15
21:20 PM,Study,Chatting with guests,Mrs. Peacock,15
21:30 PM,Dining Room,Chatting with guests,Mrs. Peacock,15
21:40 PM,Living Room,Retrieving items from storage,Mrs. Peacock,15
21:50 PM,Bathroom,Chatting with guests,Mrs. Peacock,15
22:00 PM,Living Room,Retrieving items from storage,Mrs. Peacock,15
22:10 PM,Dining Room,Complaining about TSA going through their purse,Mrs. Peacock,15
19:00 PM,Study,Inspecting a family heirloom,Miss Scarlet,1
19:10 PM,Living Room,Serving drinks and chatting with guests,Miss Scarlet,1
19:20 PM,Study,Reading warning labels,Miss Scarlet,1
19:30 PM,Study,Observing guests from afar,Miss Scarlet,1
19:40 PM,Living Room,Reading warning labels,Miss Scarlet,1
19:50 PM,Bathroom,Reorganizing books and materials,Miss Scarlet,1
20:00 PM,Living Room,Tying decorative knots,Miss Scarlet,1
20:10 PM,Study,Taking her dog for a walk,Miss Scarlet,1
20:20 PM,Study,Polishing household items,Miss Scarlet,1
20:30 PM,Study,Raising a painting,Miss Scarlet,1
20:40 PM,Study,Raising a painting,Miss Scarlet,1
20:50 PM,Study,Taking her dog for a walk,Miss Scarlet,1
21:00 PM,Dining Room,Returning to mingle with guests,Miss Scarlet,1
21:10 PM,Kitchen,Observing guests from afar,Miss Scarlet,1
21:20 PM,Dining Room,Reorganizing books and materials,Miss Scarlet,1
21:30 PM,Living Room,Observing guests from afar,Miss Scarlet,1
21:40 PM,Living Room,Retrieving items from storage,Miss Scarlet,1
21:50 PM,Living Room,Raising a painting,Miss Scarlet,1
22:00 PM,Study,Tying decorative knots,Miss Scarlet,1
22:10 PM,Dining Room,Ripping wippets,Miss Scarlet,1
19:00 PM,Kitchen,Taking her dog for a walk,Mrs. White,9
19:10 PM,Dining Room,Polishing household items,Mrs. White,9
19:20 PM,Dining Room,Inspecting wine bottles,Mrs. White,9
19:30 PM,Kitchen,Washing up after handling items,Mrs. White,9
19:40 PM,Kitchen,Observing guests from afar,Mrs. White,9
19:50 PM,Pantry,Washing up after handling items,Mrs. White,9
20:00 PM,Kitchen,Washing up after handling items,Mrs. White,9
20:10 PM,Kitchen,Opening a safe,Mrs. White,9
20:20 PM,Kitchen,Washing up after handling items,Mrs. White,9
20:30 PM,Pantry,Washing up after handling items,Mrs. White,9
20:40 PM,Kitchen,Inspecting a family heirloom,Mrs. White,9
20:50 PM,Dining Room,Inspecting a family heirloom,Mrs. White,9
21:00 PM,Kitchen,Talking about skeet shooting,Mrs. White,9
21:10 PM,Kitchen,Opening a safe,Mrs. White,9
21:20 PM,Kitchen,Polishing household items,Mrs. White,9
21:30 PM,Dining Room,Opening a safe,Mrs. White,9
21:40 PM,Kitchen,Polishing household items,Mrs. White,9
21:50 PM,Pantry,Talking about skeet shooting,Mrs. White,9
22:00 PM,Kitchen,Inspecting a family heirloom,Mrs. White,9
22:10 PM,Pantry,Opening a safe,Mrs. White,9
19:00 PM,Kitchen,Ripping wippets,Mr. Green,18
19:10 PM,Dining Room,Inflating balloons,Mr. Green,18
19:20 PM,Study,Serving drinks and chatting with guests,Mr. Green,18
19:30 PM,Study,Complaining about TSA going through their purse,Mr. Green,18
19:40 PM,Study,Ripping wippets,Mr. Green,18
19:50 PM,Dining Room,Returning to mingle with guests,Mr. Green,18
20:00 PM,Study,Reading warning labels,Mr. Green,18
20:10 PM,Dining Room,Reading warning labels,Mr. Green,18
20:20 PM,Kitchen,Reading warning labels,Mr. Green,18
20:30 PM,Pantry,Opening a safe,Mr. Green,18
20:40 PM,Kitchen,Bragging about their Birkin,Mr. Green,18
20:50 PM,Dining Room,Inflating balloons,Mr. Green,18
21:00 PM,Kitchen,Ripping wippets,Mr. Green,18
21:10 PM,Kitchen,Looking in drawers,Mr. Green,18
21:20 PM,Pantry,Speaking in a high-pitched voice,Mr. Green,18
21:30 PM,Kitchen,Speaking in a high-pitched voice,Mr. Green,18
21:40 PM,Pantry,Reading warning labels,Mr. Green,18
21:50 PM,Kitchen,Washing up after handling items,Mr. Green,18
22:00 PM,Dining Room,Ripping wippets,Mr. Green,18
22:10 PM,Kitchen,Inflating balloons,Mr. Green,18
19:00 PM,Study,Opening letters,Professor Plum,16
19:10 PM,Dining Room,Raising a painting,Professor Plum,16
19:20 PM,Study,Returning to mingle with guests,Professor Plum,16
19:30 PM,Dining Room,Whittling a stick,Professor Plum,16
19:40 PM,Study,Reading a novel quietly,Professor Plum,16
19:50 PM,Study,Peeling an orange,Professor Plum,16
20:00 PM,Study,Reading a novel quietly,Professor Plum,16
20:10 PM,Study,Returning to mingle with guests,Professor Plum,16
20:20 PM,Study,Peeling an orange,Professor Plum,16
20:30 PM,Living Room,Opening letters,Professor Plum,16
20:40 PM,Study,Whittling a stick,Professor Plum,16
20:50 PM,Study,Reading a novel quietly,Professor Plum,16
21:00 PM,Study,Washing up after handling items,Professor Plum,16
21:10 PM,Study,Reading a novel quietly,Professor Plum,16
21:20 PM,Dining Room,Peeling an orange,Professor Plum,16
21:30 PM,Living Room,Washing up after handling items,Professor Plum,16
21:40 PM,Study,Retrieving items from storage,Professor Plum,16
21:50 PM,Dining Room,Peeling an orange,Professor Plum,16
22:00 PM,Study,Opening letters,Professor Plum,16
22:10 PM,Study,Reading a novel quietly,Professor Plum,16
19:00 PM,Living Room,Tying decorative knots,Miss Scarlet,10
19:10 PM,Study,Raising a painting,Miss Scarlet,10
19:20 PM,Dining Room,Peeling an orange,Miss Scarlet,10
19:30 PM,Dining Room,Observing guests from afar,Miss Scarlet,10
19:40 PM,Dining Room,Serving drinks and chatting with guests,Miss Scarlet,10
19:50 PM,Living Room,Taking her dog for a walk,Miss Scarlet,10
20:00 PM,Living Room,Peeling an orange,Miss Scarlet,10
20:10 PM,Living Room,Reorganizing books and materials,Miss Scarlet,10
20:20 PM,Dining Room,Tying decorative knots,Miss Scarlet,10
20:30 PM,Study,Reorganizing books and materials,Miss Scarlet,10
20:40 PM,Dining Room,Observing guests from afar,Miss Scarlet,10
20:50 PM,Study,Reorganizing books and materials,Miss Scarlet,10
21:00 PM,Study,Inspecting wine bottles,Miss Scarlet,10
21:10 PM,Study,Tying decorative knots,Miss Scarlet,10
21:20 PM,Study,Taking her dog for a walk,Miss Scarlet,10
21:30 PM,Study,Reading a novel quietly,Miss Scarlet,10
21:40 PM,Study,Washing up after handling items,Miss Scarlet,10
21:50 PM,Living Room,Raising a painting,Miss Scarlet,10
22:00 PM,Living Room,Taking her dog for a walk,Miss Scarlet,10
22:10 PM,Study,Ripping wippets,Miss Scarlet,10
19:00 PM,Living Room,Tying decorative knots,Colonel Mustard,13
19:10 PM,Dining Room,Tying decorative knots,Colonel Mustard,13
19:20 PM,Kitchen,Talking about skeet shooting,Colonel Mustard,13
19:30 PM,Dining Room,Serving drinks and chatting with guests,Colonel Mustard,13
19:40 PM,Dining Room,Serving drinks and chatting with guests,Colonel Mustard,13
19:50 PM,Living Room,Tampering with drinks,Colonel Mustard,13
20:00 PM,Dining Room,Rinsing a glass carefully,Colonel Mustard,13
20:10 PM,Living Room,Rinsing a glass carefully,Colonel Mustard,13
20:20 PM,Dining Room,Inspecting wine bottles,Colonel Mustard,13
20:30 PM,Living Room,Inspecting wine bottles,Colonel Mustard,13
20:40 PM,Living Room,Observing guests from afar,Colonel Mustard,13
20:50 PM,Dining Room,Returning to mingle with guests,Colonel Mustard,13
21:00 PM,Study,Swapping drinks unnoticed,Colonel Mustard,13
21:10 PM,Living Room,Tampering with drinks,Colonel Mustard,13
21:20 PM,Dining Room,Chatting with guests,Colonel Mustard,13
21:30 PM,Dining Room,Serving drinks and chatting with guests,Colonel Mustard,13
21:40 PM,Living Room,Tampering with drinks,Colonel Mustard,13
21:50 PM,Living Room,Opening letters,Colonel Mustard,13
22:00 PM,Study,Tampering with drinks,Colonel Mustard,13
22:10 PM,Dining Room,Tampering with drinks,Colonel Mustard,13
19:00 PM,Living Room,Rinsing a glass carefully,Colonel Mustard,1
19:10 PM,Study,Reading warning labels,Colonel Mustard,1
19:20 PM,Dining Room,Reorganizing books and materials,Colonel Mustard,1
19:30 PM,Dining Room,Reading a novel quietly,Colonel Mustard,1
19:40 PM,Living Room,Serving drinks and chatting with guests,Colonel Mustard,1
19:50 PM,Living Room,Inspecting wine bottles,Colonel Mustard,1
20:00 PM,Living Room,Swapping drinks unnoticed,Colonel Mustard,1
20:10 PM,Dining Room,Tampering with drinks,Colonel Mustard,1
20:20 PM,Living Room,Swapping drinks unnoticed,Colonel Mustard,1
20:30 PM,Living Room,Inspecting wine bottles,Colonel Mustard,1
20:40 PM,Dining Room,Inspecting wine bottles,Colonel Mustard,1
20:50 PM,Living Room,Swapping drinks unnoticed,Colonel Mustard,1
21:00 PM,Living Room,Serving drinks and chatting with guests,Colonel Mustard,1
21:10 PM,Dining Room,Opening letters,Colonel Mustard,1
21:20 PM,Living Room,Inspecting wine bottles,Colonel Mustard,1
21:30 PM,Bathroom,Swapping drinks unnoticed,Colonel Mustard,1
21:40 PM,Living Room,Opening a safe,Colonel Mustard,1
21:50 PM,Bathroom,Serving drinks and chatting with guests,Colonel Mustard,1
22:00 PM,Living Room,Serving drinks and chatting with guests,Colonel Mustard,1
22:10 PM,Dining Room,Serving drinks and chatting with guests,Colonel Mustard,1
19:00 PM,Kitchen,Bragging about their Birkin,Mrs. Peacock,19
19:10 PM,Pantry,Retrieving items from storage,Mrs. Peacock,19
19:20 PM,Kitchen,Taking her dog for a walk,Mrs. Peacock,19
19:30 PM,Dining Room,Complaining about TSA going through their purse,Mrs. Peacock,19
19:40 PM,Dining Room,Complaining about TSA going through their purse,Mrs. Peacock,19
19:50 PM,Dining Room,Washing up after handling items,Mrs. Peacock,19
20:00 PM,Living Room,Bringing in the shopping,Mrs. Peacock,19
20:10 PM,Study,Bringing in the shopping,Mrs. Peacock,19
20:20 PM,Study,Bringing in the shopping,Mrs. Peacock,19
20:30 PM,Dining Room,Chatting with guests,Mrs. Peacock,19
20:40 PM,Study,Chatting with guests,Mrs. Peacock,19
20:50 PM,Dining Room,Chatting with guests,Mrs. Peacock,19
21:00 PM,Dining Room,Retrieving items from storage,Mrs. Peacock,19
21:10 PM,Dining Room,Bragging about their Birkin,Mrs. Peacock,19
21:20 PM,Study,Complaining about TSA going through their purse,Mrs. Peacock,19
21:30 PM,Living Room,Complaining about TSA going through their purse,Mrs. Peacock,19
21:40 PM,Study,Chatting with guests,Mrs. Peacock,19
21:50 PM,Dining Room,Retrieving items from storage,Mrs. Peacock,19
22:00 PM,Study,Reading a novel quietly,Mrs. Peacock,19
22:10 PM,Dining Room,Complaining about TSA going through their purse,Mrs. Peacock,19
19:00 PM,Kitchen,Opening letters,Mrs. White,14
19:10 PM,Kitchen,Taking her dog for a walk,Mrs. White,14
19:20 PM,Kitchen,Peeling an orange,Mrs. White,14
19:30 PM,Kitchen,Washing up after handling items,Mrs. White,14
19:40 PM,Kitchen,Complaining about TSA going through their purse,Mrs. White,14
19:50 PM,Pantry,Polishing household items,Mrs. White,14
20:00 PM,Kitchen,Polishing household items,Mrs. White,14
20:10 PM,Dining Room,Washing up after handling items,Mrs. White,14
20:20 PM,Kitchen,Inspecting a family heirloom,Mrs. White,14
20:30 PM,Dining Room,Washing up after handling items,Mrs. White,14
20:40 PM,Kitchen,Inspecting a family heirloom,Mrs. White,14
20:50 PM,Dining Room,Opening a safe,Mrs. White,14
21:00 PM,Kitchen,Opening a safe,Mrs. White,14
21:10 PM,Dining Room,Talking about skeet shooting,Mrs. White,14
21:20 PM,Living Room,Polishing household items,Mrs. White,14
21:30 PM,Dining Room,Talking about skeet shooting,Mrs. White,14
21:40 PM,Kitchen,Whittling a stick,Mrs. White,14
21:50 PM,Kitchen,Opening a safe,Mrs. White,14
22:00 PM,Pantry,Opening a safe,Mrs. White,14
22:10 PM,Kitchen,Polishing household items,Mrs. White,14
19:00 PM,Kitchen,Looking in drawers,Mr. Green,14
19:10 PM,Kitchen,Opening a safe,Mr. Green,14
19:20 PM,Dining Room,Inflating balloons,Mr. Green,14
19:30 PM,Dining Room,Looking in drawers,Mr. Green,14
19:40 PM,Study,Looking in drawers,Mr. Green,14
19:50 PM,Living Room,Speaking in a high-pitched voice,Mr. Green,14
20:00 PM,Study,Reading warning labels,Mr. Green,14
20:10 PM,Dining Room,Taking her dog for a walk,Mr. Green,14
20:20 PM,Kitchen,Speaking in a high-pitched voice,Mr. Green,14
20:30 PM,Pantry,Looking in drawers,Mr. Green,14
20:40 PM,Kitchen,Retrieving items from storage,Mr. Green,14
20:50 PM,Dining Room,Reading warning labels,Mr. Green,14
21:00 PM,Study,Inflating balloons,Mr. Green,14
21:10 PM,Living Room,Inspecting wine bottles,Mr. Green,14
21:20 PM,Dining Room,Looking in drawers,Mr. Green,14
21:30 PM,Kitchen,Inflating balloons,Mr. Green,14
21:40 PM,Pantry,Looking in drawers,Mr. Green,14
21:50 PM,Kitchen,Inspecting wine bottles,Mr. Green,14
22:00 PM,Pantry,Talking about skeet shooting,Mr. Green,14
22:10 PM,Kitchen,Reading warning labels,Mr. Green,14
19:00 PM,Kitchen,Talking about skeet shooting,Mrs. White,5
19:10 PM,Kitchen,Washing up after handling items,Mrs. White,5
19:20 PM,Dining Room,Talking about skeet shooting,Mrs. White,5
19:30 PM,Dining Room,Talking about skeet shooting,Mrs. White,5
19:40 PM,Kitchen,Returning to mingle with guests,Mrs. White,5
19:50 PM,Pantry,Talking about skeet shooting,Mrs. White,5
20:00 PM,Kitchen,Opening a safe,Mrs. White,5
20:10 PM,Dining Room,Opening a safe,Mrs. White,5
20:20 PM,Living Room,Opening a safe,Mrs. White,5
20:30 PM,Living Room,Reorganizing books and materials,Mrs. White,5
20:40 PM,Living Room,Polishing household items,Mrs. White,5
20:50 PM,Living Room,Opening a safe,Mrs. White,5
21:00 PM,Bathroom,Complaining about TSA going through their purse,Mrs. White,5
21:10 PM,Living Room,Bringing in the shopping,Mrs. White,5
21:20 PM,Study,Inspecting wine bottles,Mrs. White,5
21:30 PM,Dining Room,Bringing in the shopping,Mrs. White,5
21:40 PM,Study,Inspecting a family heirloom,Mrs. White,5
21:50 PM,Living Room,Opening a safe,Mrs. White,5
22:00 PM,Living Room,Washing up after handling items,Mrs. White,5
22:10 PM,Dining Room,Talking about skeet shooting,Mrs. White,5
19:00 PM,Kitchen,Reading warning labels,Mr. Green,3
19:10 PM,Pantry,Ripping wippets,Mr. Green,3
19:20 PM,Pantry,Speaking in a high-pitched voice,Mr. Green,3
19:30 PM,Kitchen,Peeling an orange,Mr. Green,3
19:40 PM,Kitchen,Reading warning labels,Mr. Green,3
19:50 PM,Dining Room,Reading warning labels,Mr. Green,3
20:00 PM,Kitchen,Tying decorative knots,Mr. Green,3
20:10 PM,Pantry,Speaking in a high-pitched voice,Mr. Green,3
20:20 PM,Pantry,Inflating balloons,Mr. Green,3
20:30 PM,Pantry,Returning to mingle with guests,Mr. Green,3
20:40 PM,Kitchen,Observing guests from afar,Mr. Green,3
20:50 PM,Kitchen,Reading warning labels,Mr. Green,3
21:00 PM,Pantry,Inflating balloons,Mr. Green,3
21:10 PM,Kitchen,Speaking in a high-pitched voice,Mr. Green,3
21:20 PM,Pantry,Retrieving items from storage,Mr. Green,3
21:30 PM,Kitchen,Rinsing a glass carefully,Mr. Green,3
21:40 PM,Pantry,Ripping wippets,Mr. Green,3
21:50 PM,Kitchen,Ripping wippets,Mr. Green,3
22:00 PM,Dining Room,Speaking in a high-pitched voice,Mr. Green,3
22:10 PM,Living Room,Inflating balloons,Mr. Green,3
19:00 PM,Study,Inspecting wine bottles,Professor Plum,6
19:10 PM,Study,Reading a novel quietly,Professor Plum,6
19:20 PM,Dining Room,Peeling an orange,Professor Plum,6
19:30 PM,Study,Opening letters,Professor Plum,6
19:40 PM,Study,Tying decorative knots,Professor Plum,6
19:50 PM,Study,Washing up after handling items,Professor Plum,6
20:00 PM,Living Room,Peeling an orange,Professor Plum,6
20:10 PM,Study,Serving drinks and chatting with guests,Professor Plum,6
20:20 PM,Study,Bragging about their Birkin,Professor Plum,6
20:30 PM,Living Room,Peeling an orange,Professor Plum,6
20:40 PM,Study,Whittling a stick,Professor Plum,6
20:50 PM,Study,Reading a novel quietly,Professor Plum,6
21:00 PM,Living Room,Opening letters,Professor Plum,6
21:10 PM,Bathroom,Peeling an orange,Professor Plum,6
21:20 PM,Bathroom,Peeling an orange,Professor Plum,6
21:30 PM,Living Room,Peeling an orange,Professor Plum,6
21:40 PM,Study,Opening letters,Professor Plum,6
21:50 PM,Study,Reading a novel quietly,Professor Plum,6
22:00 PM,Study,Talking about skeet shooting,Professor Plum,6
22:10 PM,Study,Ripping wippets,Professor Plum,6
19:00 PM,Dining Room,Complaining about TSA going through their purse,Mrs. Peacock,1
19:10 PM,Kitchen,Reading a novel quietly,Mrs. Peacock,1
19:20 PM,Dining Room,Retrieving items from storage,Mrs. Peacock,1
19:30 PM,Kitchen,Opening letters,Mrs. Peacock,1
19:40 PM,Pantry,Bragging about their Birkin,Mrs. Peacock,1
19:50 PM,Kitchen,Chatting with guests,Mrs. Peacock,1
20:00 PM,Pantry,Chatting with guests,Mrs. Peacock,1
20:10 PM,Kitchen,Bragging about their Birkin,Mrs. Peacock,1
20:20 PM,Kitchen,Retrieving items from storage,Mrs. Peacock,1
20:30 PM,Kitchen,Bringing in the shopping,Mrs. Peacock,1
20:40 PM,Dining Room,Reorganizing books and materials,Mrs. Peacock,1
20:50 PM,Dining Room,Bragging about their Birkin,Mrs. Peacock,1
21:00 PM,Dining Room,Complaining about TSA going through their purse,Mrs. Peacock,1
21:10 PM,Dining Room,Retrieving items from storage,Mrs. Peacock,1
21:20 PM,Dining Room,Bragging about their Birkin,Mrs. Peacock,1
21:30 PM,Living Room,Opening a safe,Mrs. Peacock,1
21:40 PM,Living Room,Bragging about their Birkin,Mrs. Peacock,1
21:50 PM,Bathroom,Retrieving items from storage,Mrs. Peacock,1
22:00 PM,Living Room,Bragging about their Birkin,Mrs. Peacock,1
22:10 PM,Study,Bringing in the shopping,Mrs. Peacock,1
19:00 PM,Kitchen,Chatting with guests,Mrs. Peacock,0
19:10 PM,Dining Room,Retrieving items from storage,Mrs. Peacock,0
19:20 PM,Kitchen,Chatting with guests,Mrs. Peacock,0
19:30 PM,Kitchen,Chatting with guests,Mrs. Peacock,0
19:40 PM,Kitchen,Swapping drinks unnoticed,Mrs. Peacock,0
19:50 PM,Kitchen,Raising a painting,Mrs. Peacock,0
20:00 PM,Kitchen,Complaining about TSA going through their purse,Mrs. Peacock,0
20:10 PM,Dining Room,Swapping drinks unnoticed,Mrs. Peacock,0
20:20 PM,Kitchen,Reading a novel quietly,Mrs. Peacock,0
20:30 PM,Dining Room,Inspecting wine bottles,Mrs. Peacock,0
20:40 PM,Dining Room,Retrieving items from storage,Mrs. Peacock,0
20:50 PM,Kitchen,Bringing in the shopping,Mrs. Peacock,0
21:00 PM,Dining Room,Bragging about their Birkin,Mrs. Peacock,0
21:10 PM,Kitchen,Bragging about their Birkin,Mrs. Peacock,0
21:20 PM,Dining Room,Serving drinks and chatting with guests,Mrs. Peacock,0
21:30 PM,Dining Room,Bringing in the shopping,Mrs. Peacock,0
21:40 PM,Kitchen,Bringing in the shopping,Mrs. Peacock,0
21:50 PM,Pantry,Bringing in the shopping,Mrs. Peacock,0
22:00 PM,Kitchen,Bringing in the shopping,Mrs. Peacock,0
22:10 PM,Dining Room,Complaining about TSA going through their purse,Mrs. Peacock,0
19:00 PM,Pantry,Inspecting a family heirloom,Mr. Green,2
19:10 PM,Kitchen,Reading warning labels,Mr. Green,2
19:20 PM,Dining Room,Ripping wippets,Mr. Green,2
19:30 PM,Living Room,Speaking in a high-pitched voice,Mr. Green,2
19:40 PM,Bathroom,Looking in drawers,Mr. Green,2
19:50 PM,Bathroom,Looking in drawers,Mr. Green,2
20:00 PM,Bathroom,Inspecting wine bottles,Mr. Green,2
20:10 PM,Living Room,Ripping wippets,Mr. Green,2
20:20 PM,Study,Looking in drawers,Mr. Green,2
20:30 PM,Dining Room,Inflating balloons,Mr. Green,2
20:40 PM,Kitchen,Reading warning labels,Mr. Green,2
20:50 PM,Pantry,Reading warning labels,Mr. Green,2
21:00 PM,Kitchen,Ripping wippets,Mr. Green,2
21:10 PM,Pantry,Speaking in a high-pitched voice,Mr. Green,2
21:20 PM,Kitchen,Speaking in a high-pitched voice,Mr. Green,2
21:30 PM,Pantry,Tampering with drinks,Mr. Green,2
21:40 PM,Pantry,Speaking in a high-pitched voice,Mr. Green,2
21:50 PM,Kitchen,Ripping wippets,Mr. Green,2
22:00 PM,Pantry,Reading warning labels,Mr. Green,2
22:10 PM,Kitchen,Bragging about their Birkin,Mr. Green,2
19:00 PM,Study,Opening letters,Professor Plum,7
19:10 PM,Study,Reading a novel quietly,Professor Plum,7
19:20 PM,Dining Room,Tying decorative knots,Professor Plum,7
19:30 PM,Study,Polishing household items,Professor Plum,7
19:40 PM,Study,Opening letters,Professor Plum,7
19:50 PM,Study,Returning to mingle with guests,Professor Plum,7
20:00 PM,Study,Serving drinks and chatting with guests,Professor Plum,7
20:10 PM,Dining Room,Peeling an orange,Professor Plum,7
20:20 PM,Study,Reorganizing books and materials,Professor Plum,7
20:30 PM,Study,Peeling an orange,Professor Plum,7
20:40 PM,Living Room,Reading a novel quietly,Professor Plum,7
20:50 PM,Dining Room,Retrieving items from storage,Professor Plum,7
21:00 PM,Dining Room,Opening letters,Professor Plum,7
21:10 PM,Study,Serving drinks and chatting with guests,Professor Plum,7
21:20 PM,Living Room,Opening letters,Professor Plum,7
21:30 PM,Bathroom,Reading a novel quietly,Professor Plum,7
21:40 PM,Living Room,Returning to mingle with guests,Professor Plum,7
21:50 PM,Dining Room,Opening letters,Professor Plum,7
22:00 PM,Study,Raising a painting,Professor Plum,7
22:10 PM,Dining Room,Whittling a stick,Professor Plum,7
19:00 PM,Pantry,Ripping wippets,Mr. Green,15
19:10 PM,Kitchen,Looking in drawers,Mr. Green,15
19:20 PM,Pantry,Serving drinks and chatting with guests,Mr. Green,15
19:30 PM,Pantry,Reading warning labels,Mr. Green,15
19:40 PM,Kitchen,Ripping wippets,Mr. Green,15
19:50 PM,Pantry,Bragging about their Birkin,Mr. Green,15
20:00 PM,Kitchen,Reading warning labels,Mr. Green,15
20:10 PM,Kitchen,Inspecting a family heirloom,Mr. Green,15
20:20 PM,Kitchen,Ripping wippets,Mr. Green,15
20:30 PM,Pantry,Observing guests from afar,Mr. Green,15
20:40 PM,Kitchen,Ripping wippets,Mr. Green,15
20:50 PM,Kitchen,Speaking in a high-pitched voice,Mr. Green,15
21:00 PM,Pantry,Looking in drawers,Mr. Green,15
21:10 PM,Kitchen,Inflating balloons,Mr. Green,15
21:20 PM,Pantry,Looking in drawers,Mr. Green,15
21:30 PM,Kitchen,Inflating balloons,Mr. Green,15
21:40 PM,Dining Room,Reading warning labels,Mr. Green,15
21:50 PM,Dining Room,Reading a novel quietly,Mr. Green,15
22:00 PM,Kitchen,Bragging about their Birkin,Mr. Green,15
22:10 PM,Pantry,Inflating balloons,Mr. Green,15
19:00 PM,Living Room,Reading warning labels,Mrs. White,4
19:10 PM,Study,Looking in drawers,Mrs. White,4
19:20 PM,Living Room,Opening a safe,Mrs. White,4
19:30 PM,Bathroom,Talking about skeet shooting,Mrs. White,4
19:40 PM,Living Room,Polishing household items,Mrs. White,4
19:50 PM,Living Room,Polishing household items,Mrs. White,4
20:00 PM,Living Room,Polishing household items,Mrs. White,4
20:10 PM,Living Room,Tying decorative knots,Mrs. White,4
20:20 PM,Dining Room,Opening a safe,Mrs. White,4
20:30 PM,Kitchen,Talking about skeet shooting,Mrs. White,4
20:40 PM,Pantry,Inspecting a family heirloom,Mrs. White,4
20:50 PM,Kitchen,Washing up after handling items,Mrs. White,4
21:00 PM,Pantry,Ripping wippets,Mrs. White,4
21:10 PM,Kitchen,Inspecting a family heirloom,Mrs. White,4
21:20 PM,Pantry,Polishing household items,Mrs. White,4
21:30 PM,Kitchen,Taking her dog for a walk,Mrs. White,4
21:40 PM,Kitchen,Swapping drinks unnoticed,Mrs. White,4
21:50 PM,Pantry,Washing up after handling items,Mrs. White,4
22:00 PM,Kitchen,Talking about skeet shooting,Mrs. White,4
22:10 PM,Pantry,Polishing household items,Mrs. White,4
19:00 PM,Kitchen,Polishing household items,Mrs. White,15
19:10 PM,Pantry,Bringing in the shopping,Mrs. White,15
19:20 PM,Kitchen,Inspecting a family heirloom,Mrs. White,15
19:30 PM,Dining Room,Inspecting a family heirloom,Mrs. White,15
19:40 PM,Dining Room,Observing guests from afar,Mrs. White,15
19:50 PM,Kitchen,Inspecting a family heirloom,Mrs. White,15
20:00 PM,Kitchen,Polishing household items,Mrs. White,15
20:10 PM,Pantry,Talking about skeet shooting,Mrs. White,15
20:20 PM,Kitchen,Inspecting a family heirloom,Mrs. White,15
20:30 PM,Pantry,Washing up after handling items,Mrs. White,15
20:40 PM,Kitchen,Opening a safe,Mrs. White,15
20:50 PM,Kitchen,Inspecting a family heirloom,Mrs. White,15
21:00 PM,Dining Room,Talking about skeet shooting,Mrs. White,15
21:10 PM,Dining Room,Observing guests from afar,Mrs. White,15
21:20 PM,Kitchen,Talking about skeet shooting,Mrs. White,15
21:30 PM,Dining Room,Talking about skeet shooting,Mrs. White,15
21:40 PM,Kitchen,Opening a safe,Mrs. White,15
21:50 PM,Pantry,Inspecting a family heirloom,Mrs. White,15
22:00 PM,Kitchen,Inspecting a family heirloom,Mrs. White,15
22:10 PM,Dining Room,Opening a safe,Mrs. White,15
